HIP,Plx,e_Plx,pmRA,pmDE,e_pmRA,e_pmDE,pmDE:pmRA
97735,7.03,3.26,14.06,11.41,4.89,2.8,0.08
97750,2.31,0.77,2.03,0.44,0.75,0.67,0.12
97766,11.17,1.89,-15.5,-51.1,1.9,1.91,0.53
97772,8.56,9.29,5.59,-1.85,6.57,9.07,0.07
97849,8.58,1.38,-0.77,-50.4,1.55,0.79,0.45
97851,9.99,1.28,6.06,-34.49,1.46,1.09,0.41
97861,1.94,1.01,1.17,-3.42,0.98,0.95,0.15
97879,6.87,1.19,30.08,16.01,1.37,0.93,-0.25
97886,9.08,0.67,22.78,36.29,0.66,0.51,-0.13
97889,2.83,1.26,-1.63,-7.52,0.95,0.78,-0.14
97905,3.05,2.33,-2.14,-3.91,2.09,1.69,-0.37
97912,5.06,1.13,-41.67,-14.8,1.57,0.87,0.02
97917,3.65,1.14,-0.6,-4.7,0.79,0.79,0.06
97922,11.96,1.5,-18.61,-12.71,1.25,1.37,0.49
97926,4.34,3.33,24.73,-11.7,1.79,3.07,-0.24
97949,0.19,1.52,2.45,0.66,1.19,1.21,0.06
97953,2.87,1.44,6.16,-18.52,1.54,1.17,0.22
97961,6.9,0.72,23.52,-0.79,0.73,0.5,-0.08
97997,3.87,0.61,5.69,7.21,0.57,0.58,-0.03
98001,22.31,0.78,-52.76,284.44,2.11,1.35,0.12
98008,2.24,0.96,11.13,-12.83,1.12,0.97,0.37
98027,12.19,1.98,30.08,-21.82,2.4,2.02,0.26
98038,11.67,1.18,16.21,-58.74,1.72,1.15,-0.16
98102,6.41,3.03,-24.93,-12.35,3.22,3.17,0.3
98104,5.44,4.53,-27.31,0.59,5.86,3.53,0.26
98177,3.92,1.04,-1.99,-9.69,1.23,0.81,-0.05
98196,0.69,1.72,10.39,-6.89,2.1,1.38,0.24
98198,5.03,0.81,14.64,19.18,0.93,0.86,0.34
98203,5.21,1.26,-10.7,-10.69,1.33,1.17,0.29
98248,2.13,1.55,0.3,-10.99,0.95,1.23,0.19
98272,9.04,2.99,22.91,4.1,4.53,3.19,0.06
98274,21.52,1.53,51.71,15.62,2.18,1.41,-0.36
98290,4.21,1.51,-4.76,14.19,1.8,1.56,0.45
98295,3.89,2.83,-0.44,-6.11,2.41,1.98,-0.48
98301,10.05,1.67,-9.57,26.08,2.03,1.75,0.34
98307,4.26,1.61,2.11,-14.11,2.02,1.34,0.06
98315,14.19,1.21,59.21,50.13,0.85,0.98,-0.16
98320,1.85,0.73,3.63,0.83,0.63,0.6,0.15
98350,3.68,0.91,14.3,4.26,0.91,1.02,0.19
98383,6.91,0.62,11.54,-16.72,0.61,0.51,0.06
98390,4.9,2.35,-1.25,3.68,1.54,1.7,-0.12
98402,5.4,0.73,7.34,6.66,0.56,0.59,-0.11
98409,1.78,1.08,-1.09,-3.22,0.83,0.83,0.03
98416,40.75,1.35,-246.73,-392.36,2.31,1.63,-0.36
98452,6.03,1.62,-19.77,-12.95,1.47,1.44,0.4
98460,5.38,1.21,6.98,-5.67,0.82,0.89,0.0
98465,0.41,0.77,-1.12,-7.85,0.62,0.63,0.04
98468,5.33,1.16,-4.4,2.27,1.2,0.8,0.24
98471,4.7,1.79,19.34,-27.67,1.72,1.14,0.44
98480,5.83,1.54,11.01,-6.31,2.23,1.47,0.12
98487,0.71,2.26,5.59,4.32,2.57,2.3,0.5
98510,3.33,0.69,4.11,-1.01,0.53,0.61,0.02
98531,4.76,0.98,6.75,-26.76,0.86,0.79,-0.23
98556,13.07,1.79,17.68,-68.29,2.32,1.34,0.13
98577,11.86,1.12,11.97,-7.18,1.6,0.99,-0.11
98593,1.87,1.04,7.66,-2.63,0.88,0.78,0.07
98594,5.65,0.96,7.94,10.77,1.12,0.99,0.18
98600,4.97,2.18,4.51,1.1,2.6,1.92,-0.27
98631,0.69,2.62,30.64,-49.5,2.32,1.68,-0.21
98636,15.43,0.97,89.69,69.73,0.58,0.63,0.01
98645,10.46,1.24,107.56,223.73,1.28,1.24,-0.05
98648,1.65,1.22,-3.29,-2.27,2.11,1.16,-0.26
98662,-0.01,1.34,-0.9,-5.56,1.3,0.96,-0.3
98669,7.97,1.63,-19.27,-52.53,1.73,1.41,-0.02
98730,2.67,0.92,13.93,5.56,0.97,0.67,0.16
98739,6.83,1.55,-15.21,-6.88,1.96,1.3,0.36
98753,0.03,1.02,-3.27,-8.03,0.79,0.96,-0.07
98756,7.53,1.2,6.69,-25.33,1.38,1.01,0.23
98826,2.23,1.72,2.06,-4.09,1.96,1.62,0.2
98837,6.27,4.13,17.13,-8.31,5.35,4.22,0.11
98858,5.63,0.54,10.92,0.51,0.59,0.45,-0.07
98859,5.18,1.27,16.93,-8.8,1.88,1.16,0.2
98888,2.99,1.43,-19.09,-37.16,1.58,1.66,0.21
98916,13.49,2.24,68.4,52.99,2.77,2.1,-0.12
98919,5.59,1.31,5.48,-40.05,0.97,0.92,-0.37
98960,3.48,1.3,7.48,-7.45,1.44,0.99,0.16
98967,14.04,1.84,204.38,149.64,2.09,2.64,0.26
98979,7.87,1.12,16.8,-7.05,1.27,1.15,0.42
99029,11.92,2.13,-39.26,-245.82,3.19,1.82,0.2
99057,6.6,2.42,44.51,-13.05,2.61,1.75,0.63
99061,-1.7,1.13,-1.29,-8.47,0.92,0.94,0.04
99104,5.18,0.87,8.99,-29.02,0.59,0.63,-0.22
99112,6.24,0.98,-16.32,-7.5,1.12,0.85,-0.08
99114,4.04,1.07,16.16,-11.94,1.34,0.97,-0.1
99122,1.33,1.17,-2.8,-6.65,0.97,1.06,-0.11
99151,7.67,2.13,-62.82,-196.03,1.66,2.1,0.68
99159,0.58,1.25,12.93,18.38,1.17,1.12,0.21
99170,5.36,0.73,2.05,3.94,0.69,0.64,0.09
99185,4.02,1.81,-10.82,9.79,2.41,1.53,-0.34
99191,3.82,3.16,-8.26,10.23,2.99,4.89,0.31
99227,4.02,1.41,3.82,11.34,1.05,1.08,-0.21
99238,3.55,0.84,10.1,-40.64,0.98,0.75,0.01
99257,4.05,0.62,9.23,-16.05,0.67,0.58,0.21
99268,4.71,3.02,14.56,-38.44,4.24,2.26,-0.1
99307,2.05,1.19,2.37,1.62,1.22,1.1,0.03
99345,1.89,3.56,11.64,2.58,4.59,3.01,0.16
99376,19.45,0.8,14.35,78.88,1.34,0.91,0.0
99391,15.93,1.71,-3.66,-127.42,1.63,1.23,0.0
99394,6.8,1.0,16.98,-2.02,0.57,0.57,-0.34
99416,2.83,1.42,-0.02,-2.04,1.09,1.24,0.03
99421,0.75,1.03,-2.45,-7.71,1.13,0.94,0.4
99431,1.34,0.84,5.78,-1.45,0.62,0.6,-0.12
99434,1.93,1.96,2.64,-0.76,1.89,1.8,0.32
99453,7.21,1.0,12.17,-34.76,1.04,0.95,0.33
99463,4.54,2.66,-0.41,-20.6,2.86,2.44,0.4
99491,3.92,5.45,6.6,-21.74,5.44,4.4,0.16
99523,2.67,1.72,4.43,8.66,1.08,1.22,-0.35
99573,1.79,0.71,10.92,9.38,0.76,0.57,-0.1
99585,5.41,1.55,2.1,-19.81,1.83,1.17,0.64
99644,-0.61,3.42,4.69,-12.96,3.68,3.03,-0.14
99660,5.03,2.08,6.53,8.0,2.39,1.62,0.2
99677,8.3,1.0,33.52,16.34,0.51,0.65,-0.04
99679,9.75,0.83,48.37,37.21,0.64,0.72,0.48
99681,7.51,1.09,23.75,-10.99,1.19,0.84,0.4
99688,0.98,2.1,-0.79,-8.34,1.91,1.96,0.12
99689,14.21,2.18,-8.5,-0.41,2.11,2.98,0.65
99694,3.79,3.51,10.45,6.73,5.08,2.97,0.17
99703,3.68,2.58,4.16,-16.37,3.15,2.27,0.14
99732,2.02,1.05,-2.65,-4.5,1.19,1.0,0.04
99748,5.47,1.28,23.17,6.17,1.46,0.85,0.23
99788,3.58,1.2,19.5,-2.34,1.28,0.97,0.23
99824,2.72,0.77,6.9,-5.02,0.46,0.48,-0.35
99837,5.1,3.75,23.86,-27.71,3.66,3.75,0.2
99867,9.59,1.9,-8.52,1.46,1.89,1.78,0.45
99874,9.94,0.64,-34.37,5.77,0.39,0.43,-0.1
99896,3.81,1.52,44.15,-75.08,1.2,1.19,0.03
99914,1.74,2.32,2.73,-1.89,2.17,1.85,0.08
99927,2.31,0.8,9.05,2.27,0.49,0.53,-0.02
99935,6.37,1.74,-0.49,-3.47,2.21,1.56,-0.02
99948,3.04,2.16,7.12,-15.77,2.62,2.07,0.51
99956,16.51,1.21,-4.24,-103.71,1.67,0.93,0.17
99959,5.25,1.98,15.11,0.84,1.77,1.79,-0.02
99966,21.45,2.14,4.79,52.71,2.56,1.62,0.36
99977,8.54,1.77,-16.24,-28.5,2.06,2.05,-0.22
99982,3.89,1.56,-1.88,-6.67,1.21,1.46,0.0
99998,1.81,1.49,-12.14,-18.53,1.18,1.24,0.25
100027,4.75,0.96,22.24,0.75,0.96,0.76,0.12
100037,4.44,1.18,10.83,0.77,1.02,0.95,0.16
