CCDM,Qual,Ncomp,comp_id,HIP,Hp,theta,rho,recno
00167+3629,A,2,A,1336,8.283,,,292
00167+3629,A,2,B,1336,9.013,156.0,0.42,293
00167+3638,A,2,A,1333,7.144,,,294
00167+3638,A,2,B,1333,9.558,139.1,2.35,295
00167+5440,A,2,A,1329,7.744,,,296
00167+5440,A,2,B,1329,9.276,39.69,5.825,297
00170+2146,A,2,A,1358,9.851,,,298
00170+2146,A,2,B,1358,10.75,134.6,2.39,299
00170+5315,C,2,A,1357,7.828,,,300
00170+5315,C,2,B,1357,10.699,119.0,0.19,301
00174+0019,B,2,A,1397,7.944,,,302
00174+0019,B,2,B,1397,10.279,224.61,7.52,303
00174+0852,B,3,B,1392,7.777,,,304
00174+0852,B,3,C,1392,7.849,234.1,3.987,305
00174+0852,B,3,A,1392,8.382,128.0,0.17,306
00174+1631,A,2,A,1390,8.875,,,307
00174+1631,A,2,B,1388,9.917,233.08,11.93,308
00174+1852,C,2,A,1389,10.688,,,309
00174+1852,C,2,B,1389,13.277,254.0,1.17,310
00174-5131,D,2,A,1393,9.734,,,311
00174-5131,D,2,B,1393,11.162,207.0,0.25,312
00178+5343,A,2,A,1417,8.022,,,313
00178+5343,A,2,B,1417,10.19,70.2,15.96,314
00179+3435,A,2,A,1441,8.622,,,315
00179+3435,A,2,B,1441,11.541,285.0,0.53,316
00180+0931,A,2,A,1447,9.261,,,317
00180+0931,A,2,B,1446,10.09,210.54,11.83,318
00182+7257,A,2,A,1461,8.104,,,319
00182+7257,A,2,S,1461,8.762,108.0,0.213,320
00183-2108,A,2,A,1464,6.99,,,321
00183-2108,A,2,B,1464,8.254,24.0,0.624,322
00184+4931,A,2,A,1478,8.024,,,323
00184+4931,A,2,B,1478,11.165,220.6,6.28,324
00185+2129,B,2,A,1482,8.976,,,325
00185+2129,B,2,B,1482,12.196,172.0,1.14,326
00185+2608,A,2,A,1488,7.782,,,327
00185+2608,A,2,B,1488,8.505,247.89,5.18,328
00187+1559,A,2,A,1503,9.46,,,329
00187+1559,A,2,B,1503,9.6,195.0,1.17,330
00189-4905,A,2,A,1516,10.215,,,331
00189-4905,A,2,B,1516,10.626,0.6,0.711,332
00191-7759,A,2,A,1531,7.936,,,333
00191-7759,A,2,B,1531,11.163,39.0,0.92,334
00192+5942,A,2,A,1543,8.209,,,335
00192+5942,A,2,B,1543,9.477,182.1,2.238,336
00192-3355,B,2,A,1544,8.911,,,337
00192-3355,B,2,B,1544,12.494,44.0,1.49,338
00201+7054,A,2,A,1606,10.033,,,339
00201+7054,A,2,B,1606,10.467,53.0,0.24,340
00202-3554,A,2,A,1610,8.529,,,341
00202-3554,A,2,B,1610,8.67,57.7,0.629,342
00203+5412,A,2,A,1621,8.947,,,343
00203+5412,A,2,B,1621,10.8,30.36,12.1,344
00203-3246,A,2,A,1625,8.831,,,345
00203-3246,A,2,B,1625,10.635,210.0,0.48,346
00205+4531,A,2,A,1642,7.267,,,347
00205+4531,A,2,B,1642,9.346,122.0,0.59,348
00206+1219,A,2,A,1646,8.714,,,349
00206+1219,A,2,B,1646,9.249,84.0,0.371,350
00209+1059,A,2,A,1670,6.81,,,351
00209+1059,A,2,B,1670,8.462,112.0,0.728,352
00209+3259,A,2,A,1669,7.323,,,353
00209+3259,A,2,B,1669,8.334,288.3,1.81,354
00210+4737,C,2,A,1676,9.942,,,355
